Date,HomeTeam,AwayTeam,B365>2.5,B365<2.5
20/02/2022,Dortmund,M'gladbach,1.44,2.75
20/02/2022,Hertha,RB Leipzig,1.66,2.2
25/02/2022,Hoffenheim,Stuttgart,1.53,2.5
26/02/2022,Freiburg,Hertha,1.72,2.1
26/02/2022,Greuther Furth,FC Koln,1.72,2.1
26/02/2022,Leverkusen,Bielefeld,1.53,2.5
26/02/2022,M'gladbach,Wolfsburg,1.8,2.0
26/02/2022,Union Berlin,Mainz,2.2,1.66
26/02/2022,Ein Frankfurt,Bayern Munich,1.33,3.4
27/02/2022,Bochum,RB Leipzig,1.66,2.2
27/02/2022,Augsburg,Dortmund,1.5,2.62
04/03/2022,Bielefeld,Augsburg,2.1,1.72
05/03/2022,Bayern Munich,Leverkusen,1.25,4.0
05/03/2022,Bochum,Greuther Furth,2.0,1.9
05/03/2022,Hertha,Ein Frankfurt,1.72,2.1
05/03/2022,RB Leipzig,Freiburg,1.66,2.2
05/03/2022,Wolfsburg,Union Berlin,2.2,1.66
05/03/2022,Stuttgart,M'gladbach,1.72,2.1
06/03/2022,FC Koln,Hoffenheim,1.53,2.5
12/03/2022,Freiburg,Wolfsburg,2.1,1.72
12/03/2022,Hoffenheim,Bayern Munich,1.28,3.75
12/03/2022,Union Berlin,Stuttgart,2.03,1.87
12/03/2022,M'gladbach,Hertha,1.53,2.5
13/03/2022,Leverkusen,FC Koln,1.5,2.62
13/03/2022,Dortmund,Bielefeld,1.44,2.75
13/03/2022,Ein Frankfurt,Bochum,1.8,2.0
13/03/2022,Greuther Furth,RB Leipzig,1.57,2.37
16/03/2022,Mainz,Dortmund,1.61,2.3
18/03/2022,Bochum,M'gladbach,1.72,2.1
19/03/2022,Greuther Furth,Freiburg,1.8,2.0
19/03/2022,Hertha,Hoffenheim,1.57,2.37
19/03/2022,Mainz,Bielefeld,2.2,1.66
19/03/2022,Stuttgart,Augsburg,1.96,1.94
19/03/2022,Bayern Munich,Union Berlin,1.3,3.5
20/03/2022,RB Leipzig,Ein Frankfurt,1.57,2.37
20/03/2022,Wolfsburg,Leverkusen,1.72,2.1
20/03/2022,FC Koln,Dortmund,1.57,2.37
01/04/2022,Union Berlin,FC Koln,2.1,1.72
02/04/2022,Bielefeld,Stuttgart,2.03,1.87
02/04/2022,Ein Frankfurt,Greuther Furth,1.61,2.3
02/04/2022,Freiburg,Bayern Munich,1.44,2.75
02/04/2022,Hoffenheim,Bochum,1.57,2.37
02/04/2022,Leverkusen,Hertha,1.44,2.75
02/04/2022,Dortmund,RB Leipzig,1.53,2.5
03/04/2022,Augsburg,Wolfsburg,2.1,1.72
03/04/2022,M'gladbach,Mainz,1.72,2.1
06/04/2022,Augsburg,Mainz,2.06,1.84
08/04/2022,Stuttgart,Dortmund,1.61,2.3
09/04/2022,Bayern Munich,Augsburg,1.22,4.33
09/04/2022,FC Koln,Mainz,1.97,1.93
09/04/2022,Greuther Furth,M'gladbach,1.66,2.2
09/04/2022,Wolfsburg,Bielefeld,1.97,1.93
09/04/2022,Hertha,Union Berlin,2.2,1.66
10/04/2022,Bochum,Leverkusen,1.61,2.3
10/04/2022,Ein Frankfurt,Freiburg,1.8,2.1
10/04/2022,RB Leipzig,Hoffenheim,1.44,2.75
16/04/2022,Augsburg,Hertha,1.91,1.99
16/04/2022,Dortmund,Wolfsburg,1.57,2.37
16/04/2022,Freiburg,Bochum,1.93,1.97
16/04/2022,Mainz,Stuttgart,1.95,1.95
16/04/2022,M'gladbach,FC Koln,1.61,2.3
17/04/2022,Bielefeld,Bayern Munich,1.33,3.4
17/04/2022,Hoffenheim,Greuther Furth,1.4,3.0
17/04/2022,Union Berlin,Ein Frankfurt,2.04,1.86
17/04/2022,Leverkusen,RB Leipzig,1.66,2.2
22/04/2022,Wolfsburg,Mainz,1.93,1.97
23/04/2022,Ein Frankfurt,Hoffenheim,1.53,2.5
23/04/2022,FC Koln,Bielefeld,1.72,2.1
23/04/2022,Freiburg,M'gladbach,1.57,2.37
23/04/2022,Greuther Furth,Leverkusen,1.53,2.5
23/04/2022,RB Leipzig,Union Berlin,2.0,1.9
23/04/2022,Bayern Munich,Dortmund,1.25,4.0
24/04/2022,Bochum,Augsburg,2.01,1.89
24/04/2022,Hertha,Stuttgart,1.98,1.92
29/04/2022,Union Berlin,Greuther Furth,1.8,2.0
30/04/2022,Augsburg,FC Koln,1.84,2.06
30/04/2022,Bielefeld,Hertha,2.1,1.72
30/04/2022,Dortmund,Bochum,1.44,2.75
30/04/2022,Mainz,Bayern Munich,1.44,2.75
30/04/2022,Stuttgart,Wolfsburg,1.72,2.1
30/04/2022,Hoffenheim,Freiburg,1.66,2.2
02/05/2022,Leverkusen,Ein Frankfurt,1.44,2.75
02/05/2022,M'gladbach,RB Leipzig,1.57,2.37
06/05/2022,Bochum,Bielefeld,1.8,2.0
07/05/2022,FC Koln,Wolfsburg,1.53,2.5
07/05/2022,Freiburg,Union Berlin,1.8,2.0
07/05/2022,Greuther Furth,Dortmund,1.36,3.2
07/05/2022,Hoffenheim,Leverkusen,1.44,2.75
07/05/2022,Hertha,Mainz,1.87,2.03
08/05/2022,Ein Frankfurt,M'gladbach,1.4,3.0
08/05/2022,Bayern Munich,Stuttgart,1.3,3.5
08/05/2022,RB Leipzig,Augsburg,1.5,2.62
14/05/2022,Augsburg,Greuther Furth,1.4,3.0
14/05/2022,Bielefeld,RB Leipzig,1.4,3.0
14/05/2022,Dortmund,Hertha,1.3,3.5
14/05/2022,Leverkusen,Freiburg,1.4,3.0
14/05/2022,Mainz,Ein Frankfurt,1.4,3.0
14/05/2022,M'gladbach,Hoffenheim,1.22,4.33
14/05/2022,Stuttgart,FC Koln,1.4,3.0
14/05/2022,Union Berlin,Bochum,1.53,2.5
14/05/2022,Wolfsburg,Bayern Munich,1.22,4.33
05/08/2022,Ein Frankfurt,Bayern Munich,1.4,3.0
06/08/2022,Augsburg,Freiburg,1.92,1.98
06/08/2022,Bochum,Mainz,1.96,1.94
06/08/2022,M'gladbach,Hoffenheim,1.36,3.2
06/08/2022,Union Berlin,Hertha,2.06,1.84
06/08/2022,Wolfsburg,Werder Bremen,1.8,2.0
06/08/2022,Dortmund,Leverkusen,1.4,3.0
07/08/2022,Stuttgart,RB Leipzig,1.72,2.1
07/08/2022,FC Koln,Schalke 04,1.57,2.37
12/08/2022,Freiburg,Dortmund,1.57,2.37
13/08/2022,Hertha,Ein Frankfurt,1.8,2.0
13/08/2022,Hoffenheim,Bochum,1.5,2.62
13/08/2022,Leverkusen,Augsburg,1.44,2.75
13/08/2022,RB Leipzig,FC Koln,1.57,2.37
13/08/2022,Werder Bremen,Stuttgart,1.66,2.2
13/08/2022,Schalke 04,M'gladbach,1.57,2.37
14/08/2022,Mainz,Union Berlin,2.06,1.84
14/08/2022,Bayern Munich,Wolfsburg,1.22,4.33
19/08/2022,M'gladbach,Hertha,1.5,2.62
20/08/2022,Augsburg,Mainz,1.87,2.03
20/08/2022,Dortmund,Werder Bremen,1.4,3.0
20/08/2022,Leverkusen,Hoffenheim,1.44,2.75
20/08/2022,Stuttgart,Freiburg,1.72,2.1
20/08/2022,Wolfsburg,Schalke 04,1.66,2.2
20/08/2022,Union Berlin,RB Leipzig,1.91,1.99
21/08/2022,Ein Frankfurt,FC Koln,1.66,2.2
21/08/2022,Bochum,Bayern Munich,1.25,4.0
26/08/2022,Freiburg,Bochum,1.61,2.3
