market,n,hit,hit_rate,profit,roi,avg_odds,max_dd,top3_wins,profit_ex_top3,roi_ex_top3,seasons,n_seasons,leagues,n_leagues,pattern,odds_band,reject
Away_win,808,386,47.8,-62.51,-7.7,2.23,-85.17,11.85,-74.36,-9.2,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'Ligue 1', 'Premier League', 'Eredivisie', 'La Liga', 'Serie A', 'Bundesliga', 'MLS']",8,form_mismatch_A,A_any,ROI=-7.7%<=0
Over25,808,452,55.9,41.76,5.2,1.88,-23.12,2.64,39.12,4.8,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'Ligue 1', 'Premier League', 'Eredivisie', 'La Liga', 'Serie A', 'Bundesliga', 'MLS']",8,form_mismatch_A,any,
Over35,808,254,31.4,-147.6,-18.3,2.6,-160.0,4.8,-152.4,-18.9,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'Ligue 1', 'Premier League', 'Eredivisie', 'La Liga', 'Serie A', 'Bundesliga', 'MLS']",8,form_mismatch_A,any,ROI=-18.3%<=0
BTTS,808,462,57.2,14.36,1.8,1.78,-20.86,2.34,12.02,1.5,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'Ligue 1', 'Premier League', 'Eredivisie', 'La Liga', 'Serie A', 'Bundesliga', 'MLS']",8,form_mismatch_A,any,
Home_win,81,49,60.5,-10.77,-13.3,1.43,-11.79,1.72,-12.49,-15.4,"[2021, 2022, 2023, 2024, 2025]",5,"['Premier League', 'La Liga', 'Ligue 1', 'Serie A', 'Eredivisie', 'Bundesliga', 'MLS', '2. Bundesliga']",8,both_strong,H_1.30-1.60,ROI=-13.3%<=0
Home_win,137,70,51.1,-11.87,-8.7,1.78,-18.98,2.94,-14.81,-10.8,"[2021, 2022, 2023, 2024, 2025]",5,"['Bundesliga', 'Serie A', 'Ligue 1', 'Eredivisie', 'La Liga', '2. Bundesliga', 'Premier League', 'MLS']",8,both_strong,H_1.60-2.00,ROI=-8.7%<=0
Home_win,162,60,37.0,-24.49,-15.1,2.3,-27.54,5.1,-29.59,-18.3,"[2021, 2022, 2023, 2024, 2025]",5,"['Premier League', '2. Bundesliga', 'Serie A', 'La Liga', 'Ligue 1', 'Eredivisie', 'Bundesliga', 'MLS']",8,both_strong,H_2.00-2.75,ROI=-15.1%<=0
Home_win,152,38,25.0,-15.36,-10.1,4.23,-27.8,14.0,-29.36,-19.3,"[2021, 2022, 2023, 2024, 2025]",5,"['La Liga', 'Eredivisie', 'Serie A', 'Premier League', 'Bundesliga', '2. Bundesliga', 'Ligue 1', 'MLS']",8,both_strong,H_2.75+,ROI=-10.1%<=0
Home_win,558,233,41.8,-69.4,-12.4,2.52,-74.17,14.0,-83.4,-14.9,"[2021, 2022, 2023, 2024, 2025]",5,"['La Liga', 'Eredivisie', 'Bundesliga', 'Serie A', 'Premier League', 'Ligue 1', '2. Bundesliga', 'MLS']",8,both_strong,H_any,ROI=-12.4%<=0
Draw,265,75,28.3,0.4,0.2,3.53,-32.75,8.25,-7.85,-3.0,"[2021, 2022, 2023, 2024, 2025]",5,"['Serie A', 'Premier League', 'Ligue 1', '2. Bundesliga', 'La Liga', 'Eredivisie', 'Bundesliga', 'MLS']",8,both_strong,D_3.20-3.80,profit_ex_top3<=0
Draw,168,44,26.2,8.26,4.9,4.01,-23.9,9.99,-1.73,-1.0,"[2021, 2022, 2023, 2024, 2025]",5,"['La Liga', 'Bundesliga', 'Premier League', 'Eredivisie', 'Ligue 1', '2. Bundesliga', 'Serie A', 'MLS']",8,both_strong,D_3.80-4.50,profit_ex_top3<=0
Draw,68,18,26.5,19.5,28.7,4.84,-14.0,12.75,6.75,9.9,"[2021, 2022, 2023, 2024, 2025]",5,"['Eredivisie', 'Bundesliga', 'Ligue 1', 'Serie A', 'Premier League', 'La Liga', '2. Bundesliga', 'MLS']",8,both_strong,D_4.50-5.50,
